,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
410,TUR,2013,30.2930682897568,17.8400218486786,23.80319834
411,TUR,2014,29.6692818403244,16.8139576911926,21.49681747
412,TUR,2015,28.6679297685623,17.6663354039192,19.3750456
413,TUR,2016,27.4313420057297,15.8180549740791,15.7883212
414,TUR,2017,26.8321096897125,16.6511565446854,14.91522044
415,TUR,2018,25.5431473255157,16.3576722145081,14.64749128
416,TUR,2019,24.383182823658,14.1999453306198,12.03688607
417,TUR,2020,23.8428726792336,14.9388611316681,10.4377605
418,USA,2010,3.73374372720718,32.2975993156433,0.754168164
419,USA,2011,3.75785678625107,32.8993082046509,0.761175947
420,USA,2012,3.6859106272459,31.7213982343674,0.455358578
421,USA,2013,3.77136841416359,30.9224635362625,0.463347277
422,USA,2014,3.78335639834404,30.4887712001801,0.485648122
423,USA,2015,4.20236624777317,29.3868988752365,0.478699151
424,USA,2016,4.24419529736042,28.8052260875702,0.0
425,USA,2017,4.18606959283352,28.0425280332565,0.0
426,USA,2018,4.18898798525333,28.1191110610962,0.0
427,USA,2019,4.23656515777111,26.8353223800659,0.0
428,USA,2020,4.20064702630043,26.5573799610138,0.0
429,USA,2021,4.44430112838745,28.9848268032074,
